category,feature_set,model,metric,value
overall,text,Ridge,MAE,0.122
overall,text,Ridge,RMSE,0.1684
overall,text,Ridge,R2,0.3589
overall,text,LogisticReg,AUC_ROC,0.8429
overall,text,LogisticReg,AUC_PR,0.3948
overall,+tax,Ridge,MAE,0.1214
overall,+tax,Ridge,RMSE,0.1684
overall,+tax,Ridge,R2,0.3594
overall,+tax,LogisticReg,AUC_ROC,0.833
overall,+tax,LogisticReg,AUC_PR,0.4006
overall,+net,Ridge,MAE,0.1215
overall,+net,Ridge,RMSE,0.1684
overall,+net,Ridge,R2,0.3591
overall,+net,LogisticReg,AUC_ROC,0.8314
overall,+net,LogisticReg,AUC_PR,0.3998
harm_sexual,text,Ridge,MAE,0.1254
harm_sexual,text,Ridge,RMSE,0.1457
harm_sexual,text,Ridge,R2,-0.1645
harm_sexual,text,LogisticReg,AUC_ROC,0.9005
harm_sexual,text,LogisticReg,AUC_PR,0.3397
harm_sexual,+tax,Ridge,MAE,0.1236
harm_sexual,+tax,Ridge,RMSE,0.1449
harm_sexual,+tax,Ridge,R2,-0.1522
harm_sexual,+tax,LogisticReg,AUC_ROC,0.8812
harm_sexual,+tax,LogisticReg,AUC_PR,0.3501
harm_sexual,+net,Ridge,MAE,0.1233
harm_sexual,+net,Ridge,RMSE,0.1449
harm_sexual,+net,Ridge,R2,-0.1523
harm_sexual,+net,LogisticReg,AUC_ROC,0.8812
harm_sexual,+net,LogisticReg,AUC_PR,0.3523
harm_sexual_minors,text,Ridge,MAE,0.2012
harm_sexual_minors,text,Ridge,RMSE,0.2055
harm_sexual_minors,text,Ridge,R2,-4.7192
harm_sexual_minors,text,LogisticReg,AUC_ROC,0.8802
harm_sexual_minors,text,LogisticReg,AUC_PR,0.3389
harm_sexual_minors,+tax,Ridge,MAE,0.1992
harm_sexual_minors,+tax,Ridge,RMSE,0.2044
harm_sexual_minors,+tax,Ridge,R2,-4.6565
harm_sexual_minors,+tax,LogisticReg,AUC_ROC,0.6361
harm_sexual_minors,+tax,LogisticReg,AUC_PR,0.1535
harm_sexual_minors,+net,Ridge,MAE,0.196
harm_sexual_minors,+net,Ridge,RMSE,0.2028
harm_sexual_minors,+net,Ridge,R2,-4.5658
harm_sexual_minors,+net,LogisticReg,AUC_ROC,0.6365
harm_sexual_minors,+net,LogisticReg,AUC_PR,0.1529
harm_harassment,text,Ridge,MAE,0.1576
harm_harassment,text,Ridge,RMSE,0.1722
harm_harassment,text,Ridge,R2,-0.0635
harm_harassment,text,LogisticReg,AUC_ROC,0.8534
harm_harassment,text,LogisticReg,AUC_PR,0.3598
harm_harassment,+tax,Ridge,MAE,0.1548
harm_harassment,+tax,Ridge,RMSE,0.1705
harm_harassment,+tax,Ridge,R2,-0.0428
harm_harassment,+tax,LogisticReg,AUC_ROC,0.8434
harm_harassment,+tax,LogisticReg,AUC_PR,0.3177
harm_harassment,+net,Ridge,MAE,0.1546
harm_harassment,+net,Ridge,RMSE,0.1705
harm_harassment,+net,Ridge,R2,-0.0425
harm_harassment,+net,LogisticReg,AUC_ROC,0.8381
harm_harassment,+net,LogisticReg,AUC_PR,0.3175
harm_harassment_threatening,text,Ridge,MAE,0.0485
harm_harassment_threatening,text,Ridge,RMSE,0.0509
harm_harassment_threatening,text,Ridge,R2,-4.7741
harm_harassment_threatening,text,LogisticReg,AUC_ROC,0.9682
harm_harassment_threatening,text,LogisticReg,AUC_PR,0.0182
harm_harassment_threatening,+tax,Ridge,MAE,0.0465
harm_harassment_threatening,+tax,Ridge,RMSE,0.0504
